"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"1",22471,23081,22858,23218,22846,22833,22950,23070,22912,22811,19414,20640,20567,20572,20521,20691,20342,20745,20766,20418,20341
"2",22285,22870,22885,23266,23139,23113,23054,22994,23089,23163,20148,19790,21364,21311,21182,21220,21222,21204,21145,21106,21106
"3",22260,22805,22912,22996,22886,22849,23152,23226,22935,22846,19926,19478,20673,20559,20861,20879,20677,20724,20632,20697,20478
"4",22893,23498,24519,24506,24271,24195,24663,24350,24337,24272,20844,21396,22148,23460,23430,23269,23491,23305,23264,23020,23370
"5",23741,24316,25026,24930,25513,25449,25375,25090,25369,24506,22497,23254,24028,25468,25822,25585,25574,25308,25537,25474,23902
"6",23465,24041,24295,24229,24093,24079,24511,24230,24192,23468,21381,21872,23350,23143,23103,23334,23194,23162,23212,23373,21725
"7",23728,24500,25240,25187,25183,25355,25154,25515,25161,24593,22365,23288,23829,25190,25375,25196,25251,25269,25308,25053,24014
"8",24372,25292,26042,26120,25936,26291,26362,26229,25575,26310,23843,24878,25653,27317,27317,26988,27150,27317,27204,25563,24035
"9",23705,24541,25153,25898,26295,26319,26491,26109,26206,25457,23473,24274,24826,25859,27381,27099,27100,27273,27168,27362,25720
"10",24784,25737,26623,26869,27802,28831,28741,28680,27722,28690,26506,27258,28239,30278,29262,30010,31794,31494,31919,29901,28151
